tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAF,church,d,n,FAT,35116870_35117880, ,NA
*MAN,church,d,n,FAT,35120760_35122310, ,NA
*MAN,stroller,d,y,FAT,35161320_35162580, ,NA
*FAN,shoes,d,y,FAT,35169050_35171610, ,NA
*OLN,shoes,n,y,SIS,35185680_35186560, ,NA
*FAN,shoes,d,y,FAT,35186560_35187700, ,NA
*FAN,socks,q,n,FAT,35266320_35267320, ,NA
*MAN,socks,d,n,FAT,35272180_35273460, ,NA
*MAN,tray,d,n,FAT,35332280_35333840, ,NA
*OLN,tray,d,n,FAT,35349690_35350500, ,NA
*FAN,seat,i,Y,FAT,35444200_35445260, ,NA
*FAN,stroller,d,y,MOT,35750870_35752610, ,NA
*CXN,fire,d,n,MOT,35875850_35877290, ,NA
*FAN,fire,q,n,MOT,35879160_35880330, ,NA
*FAN,seat,d,y,MOT,35926620_35929000, ,NA
*OLF,feet,q,y,MOT,36220350_36222040, ,NA
*FAN,batmobile,q,y,MOT,36304680_36306120, ,NA
*FAN,batmobile,q,y,MOT,36306910_36308690, ,NA
*FAN,batmobile,q,y,MOT,36312510_36314440, ,NA
*FAN,truck,q,y,MOT,36317250_36318390, ,NA
*FAN,pickup+truck,q,y,MOT,36319380_36321270, ,NA
*FAN,stroller,d,y,MOT,36339700_36341510, ,NA
*OLN,sidewalk,i,y,MOT,36545890_36550510, ,NA
*CHN,cubby,i,n,MOT,36797810_36799170, ,NA
*FAN,boat,d,y,FAT,36857370_36858370, ,NA
*CHN,door,q,y,FAT,36937460_36938990, ,NA
*FAN,arms,q,y,FAT,37054580_37055590, ,NA
*MAN,arms,q,y,FAT,37055590_37056590, ,NA
*MAN,bows,d,y,FAT,37066940_37068560, ,NA
*MAN,arrows,d,y,FAT,37066940_37068560, ,NA
*FAN,poopy,q,n,FAT,37162610_37163910, ,NA
*MAN,poops,d,n,FAT,37188000_37190280, ,NA
*FAN,poops,d,n,FAT,37241220_37243070, ,NA
*OLN,pants,d,y,FAT,37243070_37244040, ,NA
*FAN,pants,i,y,FAT,37248310_37250150, ,NA
*FAN,pants,q,y,FAT,37251780_37253160, ,NA
*MAN,poops,d,y,FAT,37319720_37320930, ,NA
*MAN,jammies,d,y,FAT,37419890_37421880, ,NA
*MAN,toes,q,y,FAT,37443850_37445050, ,NA
*OLN,toes,q,y,FAT,37445050_37446470, ,NA
*OLN,toes,q,y,FAT,37448170_37449140, ,NA
*CHN,toes,d,y,FAT,37451300_37452650, ,NA
*OLN,toe,d,y,FAT,37452650_37455290, ,NA
*FAN,toes,d,y,FAT,37455890_37458000, ,NA
*CHN,toes,d,y,FAT,37462850_37463960, ,NA
*FAN,toes,d,y,FAT,37478880_37479880, ,NA
*CXN,poopy,n,n,SIS,37493370_37494940, ,NA
*CXN,poopy,n,n,SIS,37498080_37498880, ,NA
*FAN,potty,q,n,FAT,37498880_37500380, ,NA
*CXN,poopy,n,n,SIS,37500380_37501440, ,NA
*FAN,poopy,q,n,FAT,37501440_37502660, ,NA
*FAN,teeth,q,n,FAT,37519460_37520460, ,NA
*MAN,bummy,d,n,FAT,37530130_37531980, ,NA
*MAN,dust,d,y,FAT,37608250_37610890, ,NA
